train/loss_sparsity,train_params/lambda_sparsity,lr-Adam/f_dc,lr-Adam/opacity,train/loss_opaque,epoch,train_params/lambda_opaque,lr-Adam/xyz,lr-Adam/rotation,lr-Adam/f_rest,train_params/lambda_sds,lr-Adam/scaling,step
,,0.0125,0.01,,,,0.00023161986623301264,0.001,0.000625,,0.005,87
0.1485113948583603,1.0,,,0.08157025277614594,0,0.0,,,,1.0,,87
,,0.0125,0.01,,,,0.0002316145147395948,0.001,0.000625,,0.005,88
0.11834456771612167,1.0,,,0.03791457414627075,0,0.0,,,,1.0,,88
,,0.0125,0.01,,,,0.00023160916336982046,0.001,0.000625,,0.005,89
0.14559908211231232,1.0,,,0.05990045517683029,0,0.0,,,,1.0,,89
,,0.0125,0.01,,,,0.00023160381212368803,0.001,0.000625,,0.005,90
0.14211860299110413,1.0,,,0.06659378111362457,0,0.0,,,,1.0,,90
,,0.0125,0.01,,,,0.00023159846100119416,0.001,0.000625,,0.005,91
0.16332590579986572,1.0,,,0.08079758286476135,0,0.0,,,,1.0,,91
,,0.0125,0.01,,,,0.00023159311000233606,0.001,0.000625,,0.005,92
0.12635143101215363,1.0,,,0.050084471702575684,0,0.0,,,,1.0,,92
,,0.0125,0.01,,,,0.00023158775912711087,0.001,0.000625,,0.005,93
0.14490342140197754,1.0,,,0.07058130204677582,0,0.0,,,,1.0,,93
,,0.0125,0.01,,,,0.00023158240837551573,0.001,0.000625,,0.005,94
0.14071789383888245,1.0,,,0.053061116486787796,0,0.0,,,,1.0,,94
,,0.0125,0.01,,,,0.00023157705774754775,0.001,0.000625,,0.005,95
0.14161810278892517,1.0,,,0.05069900304079056,0,0.0,,,,1.0,,95
,,0.0125,0.01,,,,0.0002315717072432041,0.001,0.000625,,0.005,96
0.15483151376247406,1.0,,,0.06989111751317978,0,0.0,,,,1.0,,96
,,0.0125,0.01,,,,0.00023156635686248195,0.001,0.000625,,0.005,97
0.12902255356311798,1.0,,,0.04423109441995621,0,0.0,,,,1.0,,97
,,0.0125,0.01,,,,0.00023156100660537838,0.001,0.000625,,0.005,98
0.1243051290512085,1.0,,,0.04864983633160591,0,0.0,,,,1.0,,98
,,0.0125,0.01,,,,0.00023155565647189018,0.001,0.000625,,0.005,99
0.10815495997667313,1.0,,,0.024687359109520912,0,0.0,,,,1.0,,99
,,0.0125,0.01,,,,0.0002315503064620157,0.001,0.000625,,0.005,100
0.12226372957229614,1.0,,,0.033798299729824066,0,0.0,,,,1.0,,100
,,0.0125,0.01,,,,0.00023154495657575085,0.001,0.000625,,0.005,101
0.15959566831588745,1.0,,,0.09050657600164413,0,0.0,,,,1.0,,101
,,0.0125,0.01,,,,0.0002315396068130932,0.001,0.000625,,0.005,102
0.1457313448190689,1.0,,,0.07504032552242279,0,0.0,,,,1.0,,102
,,0.0125,0.01,,,,0.00023153425717403986,0.001,0.000625,,0.005,103
0.10735870152711868,1.0,,,0.04366611689329147,0,0.0,,,,1.0,,103
,,0.0125,0.01,,,,0.0002315289076585876,0.001,0.000625,,0.005,104
0.15323017537593842,1.0,,,0.08942429721355438,0,0.0,,,,1.0,,104
,,0.0125,0.01,,,,0.0002315235582667344,0.001,0.000625,,0.005,105
0.12896111607551575,1.0,,,0.04350034147500992,0,0.0,,,,1.0,,105
,,0.0125,0.01,,,,0.00023151820899847738,0.001,0.000625,,0.005,106
0.15757517516613007,1.0,,,0.12429884821176529,0,0.0,,,,1.0,,106
,,0.0125,0.01,,,,0.00023151285985381284,0.001,0.000625,,0.005,107
0.169638529419899,1.0,,,0.1517857164144516,0,0.0,,,,1.0,,107
,,0.0125,0.01,,,,0.00023150751083273835,0.001,0.000625,,0.005,108
0.15619632601737976,1.0,,,0.08537980914115906,0,0.0,,,,1.0,,108
,,0.0125,0.01,,,,0.0002315021619352511,0.001,0.000625,,0.005,109
0.14931699633598328,1.0,,,0.06707189977169037,0,0.0,,,,1.0,,109
,,0.0125,0.01,,,,0.00023149681316134816,0.001,0.000625,,0.005,110
0.1383579969406128,1.0,,,0.05421216040849686,0,0.0,,,,1.0,,110
,,0.0125,0.01,,,,0.0002314914645110267,0.001,0.000625,,0.005,111
0.1476791501045227,1.0,,,0.06176821514964104,0,0.0,,,,1.0,,111
,,0.0125,0.01,,,,0.0002314861159842839,0.001,0.000625,,0.005,112
0.14177563786506653,1.0,,,0.06156885623931885,0,0.0,,,,1.0,,112
,,0.0125,0.01,,,,0.00023148076758111689,0.001,0.000625,,0.005,113
0.11233140528202057,1.0,,,0.022943448275327682,0,0.0,,,,1.0,,113
,,0.0125,0.01,,,,0.00023147541930152279,0.001,0.000625,,0.005,114
0.14208894968032837,1.0,,,0.07061032205820084,0,0.0,,,,1.0,,114
,,0.0125,0.01,,,,0.00023147007114549876,0.001,0.000625,,0.005,115
0.1236187219619751,1.0,,,0.04162140563130379,0,0.0,,,,1.0,,115
,,0.0125,0.01,,,,0.00023146472311304193,0.001,0.000625,,0.005,116
0.12577179074287415,1.0,,,0.05215694010257721,0,0.0,,,,1.0,,116
,,0.0125,0.01,,,,0.00023145937520414908,0.001,0.000625,,0.005,117
0.17194417119026184,1.0,,,0.08738015592098236,0,0.0,,,,1.0,,117
,,0.0125,0.01,,,,0.00023145402741881854,0.001,0.000625,,0.005,118
0.1686888337135315,1.0,,,0.14790105819702148,0,0.0,,,,1.0,,118
,,0.0125,0.01,,,,0.00023144867975704623,0.001,0.000625,,0.005,119
0.14163058996200562,1.0,,,0.09346480667591095,0,0.0,,,,1.0,,119
,,0.0125,0.01,,,,0.00023144333221882974,0.001,0.000625,,0.005,120
0.15743525326251984,1.0,,,0.06906021386384964,0,0.0,,,,1.0,,120
,,0.0125,0.01,,,,0.00023143798480416617,0.001,0.000625,,0.005,121
0.14490142464637756,1.0,,,0.07354450970888138,0,0.0,,,,1.0,,121
,,0.0125,0.01,,,,0.00023143263751305228,0.001,0.000625,,0.005,122
0.1514359712600708,1.0,,,0.11660002917051315,0,0.0,,,,1.0,,122
,,0.0125,0.01,,,,0.00023142729034548602,0.001,0.000625,,0.005,123
0.1610693335533142,1.0,,,0.09355249255895615,0,0.0,,,,1.0,,123
,,0.0125,0.01,,,,0.00023142194330146457,0.001,0.000625,,0.005,124
0.126516193151474,1.0,,,0.045608967542648315,0,0.0,,,,1.0,,124
,,0.0125,0.01,,,,0.00023141659638098422,0.001,0.000625,,0.005,125
0.14478924870491028,1.0,,,0.06724876165390015,0,0.0,,,,1.0,,125
,,0.0125,0.01,,,,0.00023141124958404256,0.001,0.000625,,0.005,126
0.14798979461193085,1.0,,,0.062487732619047165,0,0.0,,,,1.0,,126
,,0.0125,0.01,,,,0.00023140590291063627,0.001,0.000625,,0.005,127
0.1332385241985321,1.0,,,0.054219022393226624,0,0.0,,,,1.0,,127
,,0.0125,0.01,,,,0.00023140055636076335,0.001,0.000625,,0.005,128
0.12235227972269058,1.0,,,0.03922009468078613,0,0.0,,,,1.0,,128
,,0.0125,0.01,,,,0.00023139520993442056,0.001,0.000625,,0.005,129
0.12559065222740173,1.0,,,0.0660671666264534,0,0.0,,,,1.0,,129
,,0.0125,0.01,,,,0.00023138986363160542,0.001,0.000625,,0.005,130
0.14130116999149323,1.0,,,0.05533549562096596,0,0.0,,,,1.0,,130
,,0.0125,0.01,,,,0.00023138451745231427,0.001,0.000625,,0.005,131
0.14284539222717285,1.0,,,0.06884638965129852,0,0.0,,,,1.0,,131
,,0.0125,0.01,,,,0.00023137917139654467,0.001,0.000625,,0.005,132
0.11823657155036926,1.0,,,0.08523887395858765,0,0.0,,,,1.0,,132
,,0.0125,0.01,,,,0.00023137382546429332,0.001,0.000625,,0.005,133
0.1651385873556137,1.0,,,0.09506851434707642,0,0.0,,,,1.0,,133
,,0.0125,0.01,,,,0.00023136847965555824,0.001,0.000625,,0.005,134
0.15018028020858765,1.0,,,0.07940882444381714,0,0.0,,,,1.0,,134
,,0.0125,0.01,,,,0.00023136313397033615,0.001,0.000625,,0.005,135
0.12739011645317078,1.0,,,0.05044197291135788,0,0.0,,,,1.0,,135
,,0.0125,0.01,,,,0.0002313577884086246,0.001,0.000625,,0.005,136
0.1012413501739502,1.0,,,0.009047795087099075,0,0.0,,,,1.0,,136
,,0.0125,0.01,,,,0.00023135244297041988,0.001,0.000625,,0.005,137
0.1587279736995697,1.0,,,0.09973380714654922,0,0.0,,,,1.0,,137
,,0.0125,0.01,,,,0.0002313470976557196,0.001,0.000625,,0.005,138
0.14330118894577026,1.0,,,0.058266911655664444,0,0.0,,,,1.0,,138
,,0.0125,0.01,,,,0.00023134175246452087,0.001,0.000625,,0.005,139
0.11053590476512909,1.0,,,0.0293889082968235,0,0.0,,,,1.0,,139
,,0.0125,0.01,,,,0.00023133640739682047,0.001,0.000625,,0.005,140
0.14292317628860474,1.0,,,0.06554093956947327,0,0.0,,,,1.0,,140
,,0.0125,0.01,,,,0.00023133106245261633,0.001,0.000625,,0.005,141
0.1372656226158142,1.0,,,0.055440858006477356,0,0.0,,,,1.0,,141
,,0.0125,0.01,,,,0.0002313257176319056,0.001,0.000625,,0.005,142
0.13183817267417908,1.0,,,0.04442894086241722,0,0.0,,,,1.0,,142
,,0.0125,0.01,,,,0.00023132037293468463,0.001,0.000625,,0.005,143
0.1271500587463379,1.0,,,0.04800507426261902,0,0.0,,,,1.0,,143
,,0.0125,0.01,,,,0.00023131502836095096,0.001,0.000625,,0.005,144
0.13977444171905518,1.0,,,0.06665971875190735,0,0.0,,,,1.0,,144
,,0.0125,0.01,,,,0.00023130968391070172,0.001,0.000625,,0.005,145
0.14911289513111115,1.0,,,0.0913173258304596,0,0.0,,,,1.0,,145
,,0.0125,0.01,,,,0.00023130433958393367,0.001,0.000625,,0.005,146
0.15895524621009827,1.0,,,0.0906762033700943,0,0.0,,,,1.0,,146
,,0.0125,0.01,,,,0.00023129899538064478,0.001,0.000625,,0.005,147
0.10205729305744171,1.0,,,0.009881646372377872,0,0.0,,,,1.0,,147
,,0.0125,0.01,,,,0.00023129365130083218,0.001,0.000625,,0.005,148
0.11745485663414001,1.0,,,0.0279048103839159,0,0.0,,,,1.0,,148
,,0.0125,0.01,,,,0.0002312883073444922,0.001,0.000625,,0.005,149
0.11657321453094482,1.0,,,0.03725511580705643,0,0.0,,,,1.0,,149
,,0.0125,0.01,,,,0.00023128296351162243,0.001,0.000625,,0.005,150
0.13405323028564453,1.0,,,0.05069490894675255,0,0.0,,,,1.0,,150
,,0.0125,0.01,,,,0.00023127761980221956,0.001,0.000625,,0.005,151
0.13681626319885254,1.0,,,0.06202463060617447,0,0.0,,,,1.0,,151
,,0.0125,0.01,,,,0.00023127227621628157,0.001,0.000625,,0.005,152
0.14341947436332703,1.0,,,0.08539693057537079,0,0.0,,,,1.0,,152
,,0.0125,0.01,,,,0.0002312669327538052,0.001,0.000625,,0.005,153
0.12845909595489502,1.0,,,0.05816464126110077,0,0.0,,,,1.0,,153
,,0.0125,0.01,,,,0.00023126158941478802,0.001,0.000625,,0.005,154
0.13260915875434875,1.0,,,0.10760152339935303,0,0.0,,,,1.0,,154
,,0.0125,0.01,,,,0.00023125624619922637,0.001,0.000625,,0.005,155
0.1502295583486557,1.0,,,0.07699171453714371,0,0.0,,,,1.0,,155
,,0.0125,0.01,,,,0.00023125090310711737,0.001,0.000625,,0.005,156
0.16069960594177246,1.0,,,0.09151216596364975,0,0.0,,,,1.0,,156
,,0.0125,0.01,,,,0.00023124556013845896,0.001,0.000625,,0.005,157
0.15501880645751953,1.0,,,0.07530167698860168,0,0.0,,,,1.0,,157
,,0.0125,0.01,,,,0.00023124021729324794,0.001,0.000625,,0.005,158
0.12423229217529297,1.0,,,0.044740624725818634,0,0.0,,,,1.0,,158
,,0.0125,0.01,,,,0.00023123487457148143,0.001,0.000625,,0.005,159
0.1616351306438446,1.0,,,0.08711796998977661,0,0.0,,,,1.0,,159
,,0.0125,0.01,,,,0.000231229531973157,0.001,0.000625,,0.005,160
0.13366761803627014,1.0,,,0.05199699103832245,0,0.0,,,,1.0,,160
,,0.0125,0.01,,,,0.00023122418949827054,0.001,0.000625,,0.005,161
0.14932894706726074,1.0,,,0.06754688918590546,0,0.0,,,,1.0,,161
,,0.0125,0.01,,,,0.00023121884714682043,0.001,0.000625,,0.005,162
0.14749351143836975,1.0,,,0.07168716192245483,0,0.0,,,,1.0,,162
,,0.0125,0.01,,,,0.00023121350491880346,0.001,0.000625,,0.005,163
0.12720349431037903,1.0,,,0.03888203576207161,0,0.0,,,,1.0,,163
,,0.0125,0.01,,,,0.0002312081628142167,0.001,0.000625,,0.005,164
0.13362592458724976,1.0,,,0.061790525913238525,0,0.0,,,,1.0,,164
,,0.0125,0.01,,,,0.00023120282083305735,0.001,0.000625,,0.005,165
0.1468820422887802,1.0,,,0.07061705738306046,0,0.0,,,,1.0,,165
,,0.0125,0.01,,,,0.00023119747897532258,0.001,0.000625,,0.005,166
0.10468366742134094,1.0,,,0.01484611351042986,0,0.0,,,,1.0,,166
,,0.0125,0.01,,,,0.00023119213724100948,0.001,0.000625,,0.005,167
0.12711527943611145,1.0,,,0.04372487962245941,0,0.0,,,,1.0,,167
,,0.0125,0.01,,,,0.00023118679563011562,0.001,0.000625,,0.005,168
